Categoría,Subcategoría,Concepto o duda,Variante de búsqueda usada,Fuente,URL exacta,Nombre normalizado de la fuente en NotebookLM,Estado,Método de incorporación,Ruta del DOCX puente si procede,Error de importación si procede,Breve descripción de utilidad didáctica,Prioridad,Ejemplo de pregunta del alumno,Modo pedagógico recomendado,Tipo de duda,Fecha de consulta,Referencia bibliográfica APA
ortografía,acentuación y grafías,abecedario,site:rae.es abecedario,DPD,https://www.rae.es/dpd/abecedario,Ortografía — DPD — abecedario,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar abecedario.",alta,¿Cómo se aplica correctamente el criterio de abecedario en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/abecedario"
ortotipografía,convenciones gráficas,abreviatura,site:rae.es abreviatura,DPD,https://www.rae.es/dpd/abreviatura,Ortotipografía — DPD — abreviatura,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar abreviatura.",media,¿Cómo se aplica correctamente el criterio de abreviatura en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/abreviatura"
ortografía,acentuación y grafías,acento,site:rae.es acento,DPD,https://www.rae.es/dpd/acento,Ortografía — DPD — acento,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar acento.",alta,¿Cómo se aplica correctamente el criterio de acento en mi frase?,consulta directa,ortográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/acento"
léxico/semántica,precisión léxica y préstamos,acentuación,site:rae.es acentuación,DPD,https://www.rae.es/dpd/acentuaci%C3%B3n,Léxico y semántica — DPD — acentuación,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar acentuación.",media,¿Cómo se aplica correctamente el criterio de acentuación en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/acentuaci%C3%B3n"
léxico/semántica,precisión léxica y préstamos,acortamiento,site:rae.es acortamiento,DPD,https://www.rae.es/dpd/acortamiento,Léxico y semántica — DPD — acortamiento,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar acortamiento.",media,¿Cómo se aplica correctamente el criterio de acortamiento en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/acortamiento"
léxico/semántica,precisión léxica y préstamos,acrónimo,site:rae.es acrónimo,DPD,https://www.rae.es/dpd/acr%C3%B3nimo,Léxico y semántica — DPD — acrónimo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar acrónimo.",media,¿Cómo se aplica correctamente el criterio de acrónimo en mi frase?,guiado-aplicado,léxica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/acr%C3%B3nimo"
ortotipografía,convenciones gráficas,años,site:rae.es años,DPD,https://www.rae.es/dpd/a%C3%B1os,Ortotipografía — DPD — años,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar años.",media,¿Cómo se aplica correctamente el criterio de años en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/a%C3%B1os"
ortotipografía,convenciones gráficas,apóstrofo,site:rae.es apóstrofo,DPD,https://www.rae.es/dpd/ap%C3%B3strofo,Ortotipografía — DPD — apóstrofo,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar apóstrofo.",media,¿Cómo se aplica correctamente el criterio de apóstrofo en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/ap%C3%B3strofo"
ortotipografía,convenciones gráficas,asterisco,site:rae.es asterisco,DPD,https://www.rae.es/dpd/asterisco,Ortotipografía — DPD — asterisco,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar asterisco.",media,¿Cómo se aplica correctamente el criterio de asterisco en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/asterisco"
ortotipografía,convenciones gráficas,barra,site:rae.es barra,DPD,https://www.rae.es/dpd/barra,Ortotipografía — DPD — barra,añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,NotebookLM devolvió «Could not add url source» y creó una entrada NOT_FOUND sin URL; se recreó el cuaderno y se cargó un DOCX puente.,"Criterio y ejemplos para diagnosticar, explicar y practicar barra.",media,¿Cómo se aplica correctamente el criterio de barra en mi frase?,consulta directa,ortotipográfica,2026-06-25,"Real Academia Española y Asociación de Academias de la Lengua Española. (s. f.). Diccionario panhispánico de dudas. Recuperado el 25 de junio de 2026, de https://www.rae.es/dpd/barra"
