Bloque,Subtema,Nombre normalizado,URL,Fuente,Utilidad didáctica,Estado,Método de incorporación,DOCX puente,Tipo de duda,Modo pedagógico,Ejemplo de pregunta
ortografía,acentuación y grafías,Ortografía — DPD — abecedario,https://www.rae.es/dpd/abecedario,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar abecedario.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de abecedario en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — abreviatura,https://www.rae.es/dpd/abreviatura,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar abreviatura.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de abreviatura en mi frase?
ortografía,acentuación y grafías,Ortografía — DPD — acento,https://www.rae.es/dpd/acento,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acento.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortográfica,consulta directa,¿Cómo se aplica correctamente el criterio de acento en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acentuación,https://www.rae.es/dpd/acentuaci%C3%B3n,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acentuación.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acentuación en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acortamiento,https://www.rae.es/dpd/acortamiento,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acortamiento.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acortamiento en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — acrónimo,https://www.rae.es/dpd/acr%C3%B3nimo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar acrónimo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de acrónimo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — años,https://www.rae.es/dpd/a%C3%B1os,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar años.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de años en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — apóstrofo,https://www.rae.es/dpd/ap%C3%B3strofo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar apóstrofo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de apóstrofo en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — asterisco,https://www.rae.es/dpd/asterisco,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar asterisco.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de asterisco en mi frase?
ortotipografía,convenciones gráficas,Ortotipografía — DPD — barra,https://www.rae.es/dpd/barra,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar barra.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,ortotipográfica,consulta directa,¿Cómo se aplica correctamente el criterio de barra en mi frase?
gramática,morfología y clases de palabras,Gramática — DPD — cardinales,https://www.rae.es/dpd/cardinales,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar cardinales.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,gramatical,socrático fuerte,¿Cómo se aplica correctamente el criterio de cardinales en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — ceceo,https://www.rae.es/dpd/ceceo,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar ceceo.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de ceceo en mi frase?
léxico/semántica,precisión léxica y préstamos,Léxico y semántica — DPD — colores,https://www.rae.es/dpd/colores,DPD,"Criterio y ejemplos para diagnosticar, explicar y practicar colores.",añadida mediante DOCX puente,DOCX puente,DOCX puente generado localmente; ruta local no publicada,léxica,guiado-aplicado,¿Cómo se aplica correctamente el criterio de colores en mi frase?
