codigo,bloque,subbloque,tipo_prueba,comando,fenomeno,pregunta,D1_correccion,D1_justificacion,D2_diagnostico,D2_justificacion,D3_socratismo_adaptacion,D3_justificacion,D4_claridad,D4_justificacion,D5_matices,D5_justificacion,D6_fidelidad_documental,D6_justificacion,D7_transferencia_seguridad,D7_justificacion,incidencias,valoracion_global,media_caso,mejora_recomendada,fuente_evaluacion
S1,A,A1,Pregunta sin comando explícito,Sin comando explícito,Pronombres átonos: laísmo,¿Está bien escrito «La dije que viniera»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Pronombres átonos: laísmo.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S2,A,A1,Pregunta sin comando explícito,Sin comando explícito,Pronombres átonos: leísmo admisible/no admisible,¿Es correcto decir «A María le vi ayer»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Pronombres átonos: leísmo admisible/no admisible.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I1,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S3,A,A1,Pregunta sin comando explícito,Sin comando explícito,Relativas especificativas y explicativas,¿Va coma en «Mi hermana que vive en Lugo viene mañana»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Relativas especificativas y explicativas.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S4,A,A1,Pregunta sin comando explícito,Sin comando explícito,Concordancia con expresión partitiva,¿Qué es mejor: «La mayoría de los estudiantes aprobó» o «La mayoría de los estudiantes aprobaron»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Concordancia con expresión partitiva.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S5,A,A1,Pregunta sin comando explícito,Sin comando explícito,Concordancia con sujeto coordinado,¿Es correcto «Ni el profesor ni los alumnos sabía la respuesta»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Concordancia con sujeto coordinado.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S6,A,A1,Pregunta sin comando explícito,Sin comando explícito,Régimen preposicional,¿Está bien decir «El informe incide sobre los problemas principales»?,3,"La respuesta es globalmente correcta, aunque el tratamiento del fenómeno queda condicionado por una cobertura documental insuficiente.",4,Identifica adecuadamente el fenómeno o problema evaluado: Régimen preposicional.,2,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",2,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2; I8,Mejorable,2.71,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S7,A,A1,Pregunta sin comando explícito,Sin comando explícito,Queísmo/dequeísmo,No sé si debo escribir «Me di cuenta que faltaba una página» o «Me di cuenta de que faltaba una página».,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Queísmo/dequeísmo.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S8,A,A1,Pregunta sin comando explícito,Sin comando explícito,Gerundio de posterioridad,"¿Está bien esta frase: «Nació en Madrid, estudiando después en Salamanca»?",4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Gerundio de posterioridad.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S9,A,A1,Pregunta sin comando explícito,Sin comando explícito,Pasiva refleja,¿Se dice «Se venden pisos» o «Se vende pisos»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Pasiva refleja.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S10,A,A1,Pregunta sin comando explícito,Sin comando explícito,Ambigüedad sintáctica,¿Está bien esta frase: «Vi a la profesora con los prismáticos»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Ambigüedad sintáctica.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
G1,A,A2,Pregunta sin comando explícito,Sin comando explícito,Haber impersonal,¿Es correcto decir «Habían muchas personas en la sala»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Haber impersonal.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G2,A,A2,Pregunta sin comando explícito,Sin comando explícito,Hacer temporal,¿Se dice «Hacen tres años que no nos vemos» o «Hace tres años que no nos vemos»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Hacer temporal.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G3,A,A2,Pregunta sin comando explícito,Sin comando explícito,Artículo ante /a/ tónica,¿Por qué se dice «el aula vacía» si «aula» es femenino?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Artículo ante /a/ tónica.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",4,"Distingue adecuadamente regla, contexto y matices relevantes.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1,Excelente,3.86,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G4,A,A2,Pregunta sin comando explícito,Sin comando explícito,Femenino de profesiones,¿Es mejor decir «la médico» o «la médica»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Femenino de profesiones.,4,Mantiene una guía socrática clara mediante reformulación y pregunta diagnóstica.,4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",3,"La respuesta es compatible con las fuentes esperables, pero no remite a una fuente concreta del cuaderno.",4,"Ofrece una comprobación, aplicación, continuidad didáctica o actuación segura.",I1; I3,Adecuado alto,3.71,Reforzar la trazabilidad documental y ajustar la formulación al tipo de interacción previsto.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G5,A,A2,Pregunta sin comando explícito,Sin comando explícito,Deber / deber de,¿Hay diferencia entre «Debe estar en casa» y «Debe de estar en casa»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Deber / deber de.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
G6,A,A2,Pregunta sin comando explícito,Sin comando explícito,Imperativo,¿Es correcto decir «Callaros un momento»?,4,La respuesta es lingüísticamente correcta respecto del fenómeno planteado.,4,Identifica adecuadamente el fenómeno o problema evaluado: Imperativo.,3,"Conserva cierta orientación socrática, pero la respuesta se desplaza hacia una solución o pauta externa antes de completar la mediación.",4,"La explicación es clara, ordenada y comprensible.",3,"El tratamiento es suficiente, pero convendría matizar mejor alguna formulación normativa o contextual.",1,"La respuesta declara insuficiencia documental y aun así ofrece orientación sustantiva externa, por lo que se aplica la regla estricta de D6.",3,"La continuidad didáctica o la actuación segura existe, pero queda limitada o poco concretada.",I2,Adecuado con reservas,3.14,"No resolver con criterio externo tras declarar falta de cobertura; pedir contexto, reconducir o citar una fuente verificable.",05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A2.md
