codigo_caso,bloque,subbloque,tipo_incidencia,codigo_incidencia,gravedad,dimension_afectada,descripcion,accion_recomendada,fuente_evaluacion
S1,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S2,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S3,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S4,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S5,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S6,A,A1,Respuesta externa a fuentes,I2,Media,D6,El tutor declara insuficiencia o ausencia de cobertura documental y aun así ofrece un criterio o guía sustantiva.,Evitar resolver con contenido externo o separar claramente una petición de contexto y una remisión verificable.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S6,A,A1,Falta de transferencia,I8,Baja,D7,La respuesta da solución directa tras declarar falta de fuente y apenas mantiene continuidad socrática.,Pedir contexto o proponer comprobación sin cerrar normativamente la respuesta.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S7,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S8,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S9,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
S10,A,A1,Trazabilidad documental débil,I1,Baja,D6,"La respuesta es compatible con criterios lingüísticos esperables, pero no remite a una fuente concreta del cuaderno.",Añadir una remisión breve a la fuente o criterio documental empleado.,05_rubricas/evaluaciones_homogeneas/evaluacion_homogenea_A1.md
